Cell ID,Cell type,x,y,z,Radius,Mother ID,Time point,Confidence,Skeleton ID
11381,-1,1410.849272,984.8577838,2764.788873,10,11380,74,-1,101
11382,-1,1214.237079,706.2135811,2590.388671,10,-1,74,-1,-1
11380,-1,1408.599713,990.8566079,2760.789657,10,11379,75,-1,101
11379,-1,1406.350154,999.604893,2758.790049,10,11378,76,-1,101
11378,-1,1402.85084,1010.102835,2758.040196,10,11377,77,-1,101
11377,-1,1397.351917,1021.850532,2761.53951,10,11376,78,-1,101
11376,-1,1398.601672,1029.848965,2760.039804,10,11375,79,-1,101
11375,-1,1397.601868,1033.59823,2766.53853,10,11374,80,-1,101
11374,-1,1397.601868,1039.347103,2760.289755,10,11373,81,-1,101
11373,-1,1383.354661,1038.847201,2758.540098,10,11372,82,-1,101
11372,-1,1382.164537,1048.563752,2753.299913,10,11371,83,-1,101
11371,-1,1374.666007,1053.812723,2751.800207,10,11370,84,-1,101
11370,-1,1367.667378,1054.562576,2756.049374,10,11369,85,-1,101
11369,-1,1360.66875,1056.312233,2752.800011,10,11368,86,-1,101
11368,-1,1346.171592,1054.562576,2757.54908,10,11367,87,-1,101
11367,-1,1341.922425,1059.061694,2750.05055,10,11366,88,-1,101
11366,-1,1336.673454,1065.060518,2738.302853,10,11365,89,-1,101
11365,-1,1330.424679,1072.059146,2743.551824,10,11364,90,-1,101
11364,-1,1329.674826,1075.308509,2737.053098,10,11363,91,-1,101
11363,-1,1331.674434,1078.557872,2733.053882,10,11362,92,-1,101
11362,-1,1328.924973,1063.06091,2740.552412,10,11361,93,-1,101
11361,-1,1324.925757,1062.810959,2735.553392,10,11360,94,-1,101
11360,-1,1323.1761,1063.560812,2733.303833,10,11359,95,-1,101
11359,-1,1321.426443,1060.311449,2730.304421,10,11358,96,-1,101
11358,-1,1317.427227,1070.309489,2727.305009,10,11357,97,-1,101
11357,-1,1312.178255,1070.809391,2724.055646,10,11356,98,-1,101
11356,-1,1313.42801,1070.809391,2712.057997,10,11355,99,-1,101
