Cell ID,Cell type,x,y,z,Radius,Mother ID,Time point,Confidence,Skeleton ID
14532,-1,889.1307375,821.0036954,2263.617792,10,14531,106,-1,110
14531,-1,893.195966,826.9505969,2254.266853,10,14530,107,-1,110
14530,-1,897.2634318,827.3080524,2244.499745,10,14529,108,-1,110
14529,-1,899.1161965,827.6055903,2236.292809,10,14528,109,-1,110
14528,-1,906.1361476,831.5332591,2229.596294,10,14527,110,-1,110
14527,-1,908.5117412,832.1300085,2222.299768,10,14526,111,-1,110
14526,-1,908.9421304,828.0267899,2212.621036,10,14525,112,-1,110
14525,-1,914.113565,831.4122368,2206.394625,10,14524,113,-1,110
14524,-1,915.5359058,830.5483755,2197.951921,10,14523,114,-1,110
14523,-1,915.3525163,825.3680864,2189.776173,10,14522,115,-1,110
14522,-1,910.192058,827.7532478,2184.948084,10,14521,116,-1,110
14521,-1,908.6886966,831.7860346,2185.40247,10,14520,117,-1,110
14520,-1,908.7229828,824.0517011,2177.883266,10,14519,118,-1,110
14519,-1,911.6063079,817.209345,2178.469276,10,14518,119,-1,110
14518,-1,911.8020016,821.2794103,2175.361471,10,14517,120,-1,110
14517,-1,911.7176446,818.9447574,2175.406958,10,14516,121,-1,110
14516,-1,909.7773472,818.2458017,2172.364955,10,14515,122,-1,110
14515,-1,907.3307604,820.0465335,2169.429274,10,14514,123,-1,110
14514,-1,908.8398274,817.3650073,2171.987353,10,14513,124,-1,110
14513,-1,911.3450738,818.0084369,2167.404759,10,14512,125,-1,110
14512,-1,913.9784013,814.1362876,2172.428613,10,14511,126,-1,110
14511,-1,911.6027618,815.9231619,2171.28572,10,14510,127,-1,110
14510,-1,914.2319894,820.7007483,2165.613297,10,14509,128,-1,110
16255,-1,941.2058103,690.7744432,2270.160297,10,16254,128,-1,124
14509,-1,915.0670179,823.4434428,2160.677331,10,14508,129,-1,110
16254,-1,929.9022515,707.7781231,2286.941748,10,16253,129,-1,124
14508,-1,916.2303041,825.8825889,2159.860711,10,14507,130,-1,110
16253,-1,931.3077131,707.251142,2282.333875,10,16252,130,-1,124
16252,-1,924.3215002,718.1972706,2277.033253,10,16251,131,-1,124
14507,-1,919.4993806,826.1855928,2161.765742,10,14506,131,-1,110
14506,-1,919.1075578,823.631205,2162.979473,10,14505,132,-1,110
16251,-1,923.6991851,713.6687849,2276.152815,10,16250,132,-1,124
14505,-1,917.8237808,821.7402874,2167.249769,10,14504,133,-1,110
16250,-1,919.1922389,717.6596455,2287.273962,10,16249,133,-1,124
14504,-1,918.5973048,820.4338695,2167.005825,10,14503,134,-1,110
16249,-1,915.6362799,721.7686273,2282.540475,10,16248,134,-1,124
16248,-1,914.4407911,722.2341339,2280.441171,10,16247,135,-1,124
14503,-1,914.6051473,819.0917306,2166.033733,10,14502,135,-1,110
14502,-1,917.6500859,822.739222,2161.718926,10,14501,136,-1,110
16247,-1,911.9659434,724.9371446,2284.237553,10,16246,136,-1,124
14501,-1,916.3464652,825.9589226,2162.655432,10,14500,137,-1,110
16246,-1,909.0299619,726.09527,2287.78097,10,16245,137,-1,124
14500,-1,915.0792056,825.2364613,2168.15922,10,14499,138,-1,110
16245,-1,909.2251773,728.5372623,2292.132613,10,16244,138,-1,124
16244,-1,905.1967514,724.5578355,2294.031285,10,16243,139,-1,124
14499,-1,912.4385154,818.6510459,2173.893697,10,14498,139,-1,110
14498,-1,915.1528621,814.1976449,2172.754001,10,14497,140,-1,110
16243,-1,905.1345414,726.3374282,2290.922994,10,16242,140,-1,124
14497,-1,914.5866502,807.3882039,2183.406944,10,14496,141,-1,110
16242,-1,909.5225835,719.4851867,2304.827785,10,16241,141,-1,124
14496,-1,910.2026912,803.2009733,2185.246393,10,14495,142,-1,110
16241,-1,907.9395545,717.3489127,2305.389011,10,16240,142,-1,124
16240,-1,906.7287541,718.701499,2303.393113,10,16239,143,-1,124
14495,-1,911.0525202,799.9271157,2191.029432,10,14494,143,-1,110
14494,-1,913.9446571,798.4506287,2188.84699,10,14493,144,-1,110
16239,-1,902.621038,718.2064434,2306.899096,10,16238,144,-1,124
14493,-1,909.9819829,799.548461,2186.816163,10,14492,145,-1,110
16238,-1,901.8368894,717.9213308,2308.036806,10,16237,145,-1,124
14492,-1,907.9041972,796.2264143,2187.371426,10,14491,146,-1,110
16237,-1,900.7851576,719.7636298,2309.968602,10,16236,146,-1,124
16236,-1,904.6139005,718.5879522,2301.643617,10,16235,147,-1,124
14491,-1,907.1017717,796.2140063,2180.56094,10,14490,147,-1,110
14490,-1,905.6463148,794.4159432,2180.556121,10,14489,148,-1,110
16235,-1,902.7460358,715.372257,2299.682735,10,16234,148,-1,124
14489,-1,908.247192,801.3506333,2177.739877,10,14488,149,-1,110
16234,-1,901.172147,720.9799959,2298.490037,10,16233,149,-1,124
14488,-1,908.4683257,809.1626063,2179.237176,10,14487,150,-1,110
16233,-1,901.6291388,720.9656755,2297.00271,10,16232,150,-1,124
16232,-1,902.9819162,721.6716454,2293.772716,10,16231,151,-1,124
14487,-1,906.2522962,809.8934166,2178.931863,10,14486,151,-1,110
14486,-1,905.2259943,806.0582243,2177.283152,10,14485,152,-1,110
16231,-1,906.1011301,721.8209332,2295.198127,10,16230,152,-1,124
14485,-1,905.3827533,808.0642328,2184.832639,10,14484,153,-1,110
16230,-1,900.3150035,724.602796,2297.120368,10,16229,153,-1,124
14484,-1,904.9380555,808.6427139,2180.821175,10,14483,154,-1,110
16229,-1,903.3876183,724.14737,2300.352625,10,16228,154,-1,124
16228,-1,905.5841396,719.0212177,2306.006809,10,16226,155,-1,124
14483,-1,906.4710234,805.6124561,2182.945936,10,14482,155,-1,110
14482,-1,905.8885167,807.5619704,2178.016715,10,14481,156,-1,110
16226,-1,902.295207,721.4590563,2308.0174,10,16225,156,-1,124
14481,-1,905.8381627,804.7508669,2182.541101,10,14480,157,-1,110
16225,-1,903.6449593,723.0022031,2313.545752,10,16224,157,-1,124
14480,-1,912.3348826,801.1527914,2181.934705,10,14479,158,-1,110
16224,-1,906.3810479,721.6000799,2314.968121,10,16223,158,-1,124
14479,-1,912.5131982,798.8176277,2174.485115,10,14478,159,-1,110
16223,-1,908.0504217,718.7372875,2303.735656,10,16222,159,-1,124
14478,-1,909.2406931,798.1302228,2174.622259,10,14477,160,-1,110
16222,-1,908.2099768,724.6334154,2295.85451,10,16221,160,-1,124
16221,-1,909.5180624,720.3179719,2296.524465,10,16220,161,-1,124
14477,-1,907.4025278,794.5330046,2170.981928,10,14476,161,-1,110
16220,-1,909.4534499,720.5233947,2300.25762,10,16219,162,-1,124
14476,-1,904.6123749,789.0194315,2174.019499,10,14475,162,-1,110
14475,-1,906.9711495,785.8792473,2177.955556,10,14474,163,-1,110
16219,-1,906.1576035,716.9350251,2300.580188,10,16218,163,-1,124
14474,-1,908.7308037,784.254805,2183.470801,10,14473,164,-1,110
16218,-1,908.4235846,717.4340521,2300.956259,10,16217,164,-1,124
12883,-1,910.875761,721.772407,2253.986038,10,12882,164,-1,101
16217,-1,910.124903,713.9557232,2300.858333,10,16216,165,-1,124
14473,-1,907.7669521,778.4763438,2182.611034,10,14472,165,-1,110
12882,-1,913.8253822,715.9945563,2254.862835,10,12881,165,-1,101
16216,-1,907.0643239,712.8560833,2305.840999,10,16215,166,-1,124
14472,-1,911.1635848,777.4735597,2188.889231,10,14471,166,-1,110
12881,-1,914.5713202,715.1743626,2263.443569,10,12880,166,-1,101
12880,-1,911.944622,710.0579748,2259.335882,10,12879,167,-1,101
14471,-1,911.6579792,770.452962,2186.358826,10,14470,167,-1,110
16215,-1,902.3551012,711.8153833,2301.353943,10,16214,167,-1,124
14470,-1,909.6811667,768.5833652,2180.320123,10,14469,168,-1,110
16214,-1,896.5516142,711.3300685,2305.435631,10,16213,168,-1,124
12879,-1,909.1224431,710.5313488,2265.229164,10,12878,168,-1,101
16213,-1,892.8451309,707.6969708,2309.760979,10,16212,169,-1,124
14469,-1,906.8534665,765.4483353,2187.578816,10,14468,169,-1,110
12878,-1,903.0499591,710.8973222,2271.574209,10,12877,169,-1,101
16212,-1,894.8514475,708.9281168,2316.94588,10,16211,170,-1,124
14468,-1,903.1147018,765.9678016,2187.617227,10,14467,170,-1,110
12877,-1,903.4830825,710.0084386,2274.034452,10,12876,170,-1,101
12876,-1,908.4293475,710.3433027,2279.761985,10,12875,171,-1,101
14467,-1,906.0879678,765.6680735,2190.205887,10,14466,171,-1,110
16211,-1,894.2919032,707.3769289,2322.827766,10,16210,171,-1,124
14466,-1,906.851705,765.5044371,2188.337625,10,14465,172,-1,110
16210,-1,895.8488191,708.3910853,2323.402298,10,16209,172,-1,124
12875,-1,907.9363304,711.287424,2279.700008,10,12874,172,-1,101
16209,-1,896.1457835,712.2231901,2323.082723,10,16208,173,-1,124
14465,-1,905.3019002,768.839753,2190.876959,10,14464,173,-1,110
12874,-1,909.3701313,712.8040567,2280.594292,10,12873,173,-1,101
16208,-1,900.7413697,709.1304277,2323.116136,10,16207,174,-1,124
14464,-1,908.8782043,767.478719,2188.72113,10,14463,174,-1,110
12873,-1,911.7785217,709.8894449,2280.777407,10,12872,174,-1,101
12872,-1,907.065791,714.8221697,2294.798024,10,12871,175,-1,101
14054,-1,925.7140866,702.2267119,2275.414857,10,14053,175,-1,101
14463,-1,908.7203769,763.7281565,2185.6605,10,14462,175,-1,110
16207,-1,899.2145077,705.0140872,2321.278351,10,16206,175,-1,124
14053,-1,925.7638983,704.0558172,2272.647103,10,14052,176,-1,101
14462,-1,908.5074369,769.6719335,2190.098507,10,14461,176,-1,110
16206,-1,896.8040612,703.0376929,2324.863268,10,16205,176,-1,124
12871,-1,905.6143441,715.3168588,2303.085976,10,12870,176,-1,101
14052,-1,926.2627753,703.131236,2271.764721,10,14051,177,-1,101
14461,-1,911.0975161,768.7785704,2187.339117,10,14460,177,-1,110
16205,-1,897.8212139,702.4669803,2325.481514,10,16204,177,-1,124
12870,-1,907.3347701,708.9182835,2300.586116,10,12869,177,-1,101
14051,-1,927.1187718,704.8909925,2273.391291,10,14050,178,-1,101
14460,-1,911.0762951,770.9689727,2191.751566,10,14459,178,-1,110
16204,-1,896.2198309,702.5333227,2334.364394,10,16203,178,-1,124
12869,-1,906.4652126,709.2579172,2304.072299,10,12868,178,-1,101
14050,-1,926.1872324,703.0399293,2273.519593,10,14049,179,-1,101
16203,-1,899.0523261,702.840788,2335.762667,10,16202,179,-1,124
14459,-1,909.2492877,773.1274821,2193.221925,10,14458,179,-1,110
12868,-1,908.3238833,708.821186,2302.843351,10,12867,179,-1,101
14049,-1,922.5513419,700.7940258,2277.112301,10,14048,180,-1,101
16202,-1,901.6867158,700.5191687,2338.565887,10,16201,180,-1,124
14458,-1,906.6881305,765.4148749,2198.769838,10,14457,180,-1,110
12867,-1,909.8498803,705.0412682,2305.295918,10,12866,180,-1,101
14048,-1,919.8650838,697.0925975,2276.376113,10,14047,181,-1,101
13400,-1,889.3380266,798.5279318,2183.088647,10,13399,181,-1,107
16201,-1,897.9048845,701.2022263,2341.91242,10,16200,181,-1,124
14457,-1,907.0054658,764.1114355,2200.87291,10,14456,181,-1,110
12866,-1,913.5389498,701.7407077,2308.67025,10,12865,181,-1,101
16200,-1,901.2856,696.2741361,2339.156845,10,16199,182,-1,124
14456,-1,911.247527,762.8452311,2202.170148,10,14455,182,-1,110
12865,-1,913.2392513,700.6221413,2303.560809,10,12864,182,-1,101
13399,-1,893.0661093,795.9182738,2185.325497,10,13398,182,-1,107
14047,-1,924.3169521,698.9396185,2271.913791,10,14046,182,-1,101
12864,-1,913.9253036,699.0329085,2299.221257,10,12863,183,-1,101
13398,-1,896.0485756,797.0366987,2178.24214,10,13397,183,-1,107
14046,-1,924.9731375,696.0504274,2263.897789,10,14045,183,-1,101
14455,-1,911.2941071,760.8371797,2198.906589,10,14454,183,-1,110
16199,-1,904.8903215,693.017885,2339.500878,10,16198,183,-1,124
13397,-1,894.7918298,791.6643417,2178.84497,10,13396,184,-1,107
14045,-1,928.5396311,693.2622778,2264.800168,10,14044,184,-1,101
14454,-1,913.1408944,757.8346967,2198.187273,10,14453,184,-1,110
16198,-1,902.4852303,696.221251,2338.440511,10,16197,184,-1,124
12863,-1,912.3300783,697.6004035,2301.406935,10,12862,184,-1,101
13396,-1,894.4280236,786.8904637,2179.347562,10,13395,185,-1,107
14044,-1,926.3605423,691.1036233,2268.161326,10,14043,185,-1,101
14453,-1,911.4780727,756.0524093,2201.357522,10,14452,185,-1,110
16197,-1,905.8033229,692.0342446,2340.390507,10,16196,185,-1,124
12862,-1,912.0686074,696.4359844,2305.109378,10,12861,185,-1,101
14043,-1,925.9370586,689.5864901,2269.152512,10,14042,186,-1,101
13395,-1,897.8736263,789.8655676,2177.43401,10,13394,186,-1,107
14452,-1,911.1535273,759.4278634,2199.237857,10,14451,186,-1,110
16196,-1,905.5123272,689.8091229,2343.627328,10,16195,186,-1,124
12861,-1,913.8653744,693.8217127,2307.832067,10,12860,186,-1,101
14042,-1,923.4603793,686.8451127,2271.722482,10,14041,187,-1,101
13394,-1,894.0665672,785.1816714,2171.948985,10,13393,187,-1,107
16195,-1,905.8052497,686.600053,2344.651453,10,16194,187,-1,124
14451,-1,904.2324317,755.6106515,2198.093891,10,14450,187,-1,110
12860,-1,913.6879916,687.6045783,2307.365272,10,12859,187,-1,101
14041,-1,920.1549689,688.2690135,2273.24933,10,14040,188,-1,101
13393,-1,892.5753341,788.1641376,2180.896384,10,13392,188,-1,107
16194,-1,905.7469935,688.6355034,2347.726166,10,16193,188,-1,124
14450,-1,905.3173339,757.2847061,2196.659869,10,14449,188,-1,110
12859,-1,915.5461256,684.744961,2310.033218,10,12858,188,-1,101
14040,-1,923.9401768,683.8146285,2278.151596,10,14039,189,-1,101
13392,-1,893.6519938,786.0742085,2181.072327,10,13391,189,-1,107
16193,-1,901.4616351,689.6777958,2356.907355,10,16192,189,-1,124
14449,-1,905.1881058,753.7833268,2205.752725,10,14448,189,-1,110
12858,-1,912.7053964,684.6815119,2313.248721,10,12857,189,-1,101
16192,-1,902.9049898,685.293216,2356.740984,10,16191,190,-1,124
14448,-1,900.7328676,749.8857852,2208.506744,10,14447,190,-1,110
12857,-1,913.0942397,680.3278586,2317.296166,10,12856,190,-1,101
13391,-1,891.237143,780.4248716,2186.471463,10,13390,190,-1,107
14039,-1,919.8294807,682.8238663,2278.904837,10,14038,190,-1,101
12856,-1,912.6909952,678.8811383,2325.814235,10,12855,191,-1,101
13390,-1,888.2877472,782.3502584,2196.368882,10,13389,191,-1,107
14038,-1,914.5845193,686.9587374,2284.208264,10,14037,191,-1,101
16191,-1,901.1448895,685.8793721,2363.065103,10,16190,191,-1,124
14447,-1,896.7284607,754.4041369,2215.698616,10,14446,191,-1,110
13389,-1,882.8840784,785.9883976,2197.249545,10,13388,192,-1,107
14037,-1,914.1441387,690.0589433,2286.182631,10,14036,192,-1,101
16190,-1,899.0979468,682.0954681,2366.858235,10,16189,192,-1,124
14446,-1,892.9417136,755.247713,2217.680473,10,14445,192,-1,110
12855,-1,914.4473868,678.635668,2324.304809,10,12854,192,-1,101
13388,-1,884.8966197,789.5340301,2205.305765,10,13385,193,-1,107
14036,-1,914.134982,691.6304722,2295.496734,10,14035,193,-1,101
14445,-1,895.6616588,759.8465392,2224.499335,10,14444,193,-1,110
16189,-1,905.0638808,687.6138257,2371.280038,10,16188,193,-1,124
12854,-1,910.6962635,681.3824049,2334.930321,10,12853,193,-1,101
13385,-1,875.4857954,797.0591094,2209.783374,10,13384,194,-1,107
14035,-1,915.2874624,692.6496257,2297.928884,10,14034,194,-1,101
14444,-1,893.1765177,756.1596481,2228.96982,10,14443,194,-1,110
16188,-1,902.3327724,686.7375381,2375.789342,10,16187,194,-1,124
12853,-1,912.1351479,679.3978953,2334.79811,10,12852,194,-1,101
13384,-1,876.925907,796.149313,2206.338209,10,13383,195,-1,107
14034,-1,912.8398726,693.6874645,2301.130385,10,14033,195,-1,101
16187,-1,902.8395789,685.7382624,2382.763634,10,16186,195,-1,124
14443,-1,888.320203,755.2904855,2232.103933,10,14442,195,-1,110
12852,-1,913.1027075,681.3421398,2338.934749,10,12851,195,-1,101
14033,-1,914.1215204,694.6597272,2302.40651,10,14032,196,-1,101
16186,-1,903.2241177,690.6422091,2397.107056,10,16185,196,-1,124
14442,-1,886.594818,758.3849922,2237.019239,10,14441,196,-1,110
12851,-1,915.4379633,679.9284882,2342.015063,10,12850,196,-1,101
13383,-1,877.3786936,795.6938928,2207.499162,10,13382,196,-1,107
14032,-1,913.3172384,697.7032905,2310.605814,10,14031,197,-1,101
14441,-1,890.0360425,758.8656282,2244.748107,10,14440,197,-1,110
16185,-1,906.7857606,685.3397685,2407.319654,10,16184,197,-1,124
12850,-1,917.0916835,680.4441502,2347.714766,10,12849,197,-1,101
13382,-1,878.5224481,794.2232244,2216.020169,10,13381,197,-1,107
14440,-1,888.6293842,757.931819,2254.326873,10,14439,198,-1,110
16184,-1,909.4297208,684.1315189,2420.022479,10,16183,198,-1,124
12849,-1,912.9733403,681.3152337,2360.214175,10,12848,198,-1,101
13381,-1,881.6545406,784.5179532,2225.858281,10,13380,198,-1,107
14031,-1,912.1123385,699.9758257,2319.782741,10,14030,198,-1,101
12848,-1,913.652739,682.2235814,2365.115515,10,12847,199,-1,101
13380,-1,882.2797794,782.2339556,2225.924991,10,13379,199,-1,107
14030,-1,914.2852997,701.3169706,2322.288613,10,14029,199,-1,101
16183,-1,910.0029881,684.0070448,2414.033042,10,16182,199,-1,124
14439,-1,888.2883811,757.9561303,2256.110433,10,14438,199,-1,110
13379,-1,881.8355202,780.1303008,2233.255152,10,13378,200,-1,107
14029,-1,912.3130324,701.0840236,2326.527266,10,14028,200,-1,101
16182,-1,911.588724,679.9903911,2422.848035,10,16181,200,-1,124
14438,-1,888.2999284,753.4281479,2261.642925,10,14437,200,-1,110
12847,-1,913.4833963,678.9569795,2368.244338,10,12846,200,-1,101
13378,-1,884.2567272,775.07376,2236.103752,10,13377,201,-1,107
14028,-1,912.0548055,696.3304751,2334.583503,10,14027,201,-1,101
14437,-1,888.7535718,749.9385535,2268.169722,10,14436,201,-1,110
16181,-1,910.2761424,673.3936877,2431.45065,10,16180,201,-1,124
