Cell ID,Cell type,x,y,z,Radius,Mother ID,Time point,Confidence,Skeleton ID
36213,-1,1079.50201,1167.089977,2267.325495,11.61540304,36212,103,-1,25
36212,-1,1076.669031,1174.400959,2262.550144,11.61540304,36207,104,-1,25
36207,-1,1076.795571,1177.936661,2260.184828,11.61540304,36206,105,-1,25
36208,-1,1068.318028,1175.451094,2267.74511,11.61540304,36207,106,-1,25
36206,-1,1080.395125,1174.195693,2248.448162,11.61540304,36205,106,-1,25
36205,-1,1080.08386,1172.263225,2235.704526,11.61540304,36204,107,-1,25
36215,-1,1063.269688,1179.412074,2272.615095,11.61540304,36208,107,-1,25
36204,-1,1080.787923,1174.029076,2232.974844,11.61540304,36203,108,-1,25
36216,-1,1067.61616,1183.33193,2265.466194,11.61540304,36215,108,-1,25
36217,-1,1067.185992,1189.660142,2265.360341,11.61540304,36216,109,-1,25
36203,-1,1085.121547,1176.156004,2224.429132,11.61540304,36202,109,-1,25
36202,-1,1087.041058,1186.465295,2229.852782,11.61540304,36200,110,-1,25
36218,-1,1067.472565,1194.756822,2271.904713,11.61540304,36217,110,-1,25
36200,-1,1089.173019,1190.956022,2220.644572,11.61540304,36199,111,-1,25
36219,-1,1067.361759,1198.80345,2268.45088,11.61540304,36218,111,-1,25
36220,-1,1061.864684,1196.774894,2267.007586,11.61540304,36219,112,-1,25
36199,-1,1090.325041,1188.0489,2216.737028,11.61540304,36198,112,-1,25
36221,-1,1065.308505,1200.12441,2271.763234,11.61540304,36220,113,-1,25
36198,-1,1088.533096,1190.566023,2220.800026,11.61540304,36197,113,-1,25
36197,-1,1081.634613,1191.568025,2224.910465,11.61540304,36195,114,-1,25
36222,-1,1061.684691,1202.82452,2263.520739,11.61540304,36221,114,-1,25
36195,-1,1080.295629,1197.184208,2221.128903,11.61540304,36194,115,-1,25
36223,-1,1061.174274,1203.027401,2268.206468,11.61540304,36222,115,-1,25
36224,-1,1054.35561,1204.687713,2264.424703,11.61540304,36223,116,-1,25
36194,-1,1073.820433,1198.107974,2218.092689,11.61540304,36193,116,-1,25
36193,-1,1075.447056,1200.171824,2209.761882,11.61540304,36192,117,-1,25
36225,-1,1051.87581,1208.124252,2263.692739,11.61540304,36224,117,-1,25
36192,-1,1081.76013,1204.266619,2208.074085,11.61540304,36191,118,-1,25
36226,-1,1055.312614,1210.839128,2261.833109,11.61540304,36225,118,-1,25
36227,-1,1056.943863,1213.026792,2265.201935,11.61540304,36226,119,-1,25
36191,-1,1079.291041,1205.602851,2205.80247,11.61540304,36190,119,-1,25
36228,-1,1052.781316,1210.634566,2261.692786,11.61540304,36227,120,-1,25
36190,-1,1081.99029,1205.58262,2202.435546,11.61540304,36189,120,-1,25
36189,-1,1079.655144,1207.91683,2202.500454,11.61540304,36188,121,-1,25
36229,-1,1051.766565,1209.485293,2261.396949,11.61540304,36228,121,-1,25
36188,-1,1076.61073,1205.191053,2204.262288,11.61540304,36187,122,-1,25
36230,-1,1046.545646,1210.894239,2258.062598,11.61540304,36229,122,-1,25
36231,-1,1043.432579,1212.672726,2262.015026,11.61540304,36230,123,-1,25
36187,-1,1073.407239,1206.353614,2211.783087,11.61540304,36186,123,-1,25
36232,-1,1040.421387,1215.686604,2257.045746,11.61540304,36231,124,-1,25
36186,-1,1068.616851,1209.985482,2210.970468,11.61540304,36185,124,-1,25
36233,-1,1039.913295,1217.916203,2259.454883,11.61540304,36232,125,-1,25
36185,-1,1074.13138,1213.706027,2205.803451,11.61540304,36184,125,-1,25
36184,-1,1068.133616,1221.364855,2215.704754,11.61540304,36183,126,-1,25
36234,-1,1043.976599,1221.719486,2259.743674,11.61540304,36233,126,-1,25
36235,-1,1045.135885,1225.415097,2258.473987,11.61540304,36234,127,-1,25
36183,-1,1066.288911,1221.401751,2220.230207,11.61540304,36182,127,-1,25
36236,-1,1047.400646,1229.550231,2260.777022,11.61540304,36235,128,-1,25
36182,-1,1065.554878,1224.955925,2222.234356,11.61540304,36180,128,-1,25
36180,-1,1064.900928,1230.138188,2231.945434,11.61540304,36178,129,-1,25
36237,-1,1049.123708,1234.100655,2267.521616,11.61540304,36236,129,-1,25
36238,-1,1046.695004,1231.988741,2271.232626,11.61540304,36237,130,-1,25
36178,-1,1066.805484,1232.664724,2234.308156,11.61540304,36177,130,-1,25
36177,-1,1061.199274,1237.661242,2234.186105,11.61540304,36176,131,-1,25
36239,-1,1043.3475,1233.276933,2271.105146,11.61540304,36238,131,-1,25
36176,-1,1064.019795,1237.143383,2237.055013,11.61540304,36175,132,-1,25
36240,-1,1044.345799,1238.367037,2270.533747,11.61540304,36239,132,-1,25
36241,-1,1037.65877,1238.900051,2275.206709,11.61540304,36240,133,-1,25
36175,-1,1065.016948,1245.892749,2240.877352,11.61540304,36174,133,-1,25
36242,-1,1028.743676,1231.760647,2278.849335,11.61540304,36241,134,-1,25
36174,-1,1063.780954,1245.709172,2243.864322,11.61540304,36170,134,-1,25
37271,-1,962.5406767,961.6828201,2090.86323,10,37270,134,-1,28
36170,-1,1063.024612,1250.354547,2246.711142,11.61540304,30142,135,-1,25
36243,-1,1021.218028,1229.629025,2276.457347,11.61540304,36242,135,-1,25
27685,-1,1155.042695,473.2224874,2331.182851,10,27684,135,-1,20
37270,-1,960.9344313,952.6322889,2088.052161,10,37268,135,-1,28
26402,-1,1083.096842,966.5638563,1975.771938,10,-1,136,-1,13
25379,-1,1231.794477,574.2344883,2071.153706,10,-1,136,-1,8
28771,-1,923.7793058,680.8027537,2561.57474,10,-1,136,-1,21
27684,-1,1157.457317,473.7121355,2331.890362,10,27683,136,-1,20
37268,-1,958.9241172,957.3250716,2086.250022,10,37263,136,-1,28
36248,-1,1025.008183,1236.17261,2276.644397,11.61540304,36243,136,-1,25
20985,-1,917.5068254,931.7672556,2638.931699,10,-1,136,-1,5
26922,-1,1491.312425,1294.167958,2760.086507,9.9,-1,136,-1,17
17259,-1,989.379667,702.8205278,2121.602711,10,17258,136,-1,2
30142,-1,1061.609239,1252.208893,2248.439415,10,-1,136,-1,25
26687,-1,1345.046627,998.7990604,2885.083007,10,-1,136,-1,16
26688,-1,1343.520948,1000.72354,2890.784249,10,26687,137,-1,16
26403,-1,1084.379211,966.0834876,1974.822817,10,26402,137,-1,13
27683,-1,1156.299792,477.3429695,2340.953573,10,27682,137,-1,20
28773,-1,927.5562608,685.5146386,2566.5062,10,28771,137,-1,21
25383,-1,1225.609553,573.3802622,2071.293132,10,25379,137,-1,8
36249,-1,1017.906991,1230.40346,2279.872869,11.61540304,36248,137,-1,25
17258,-1,987.3078887,704.7922897,2121.00692,10,17257,137,-1,2
26924,-1,1489.335444,1300.83846,2761.464984,9.9,26922,137,-1,17
20990,-1,919.3656943,936.8944248,2640.7147,10,20985,137,12.10949707,5
30143,-1,1054.908995,1257.052113,2248.739944,10,30142,137,-1,25
37263,-1,956.6915212,959.2423423,2089.554422,10,-1,137,-1,28
30144,-1,1044.985246,1258.450399,2251.982287,10,30143,138,-1,25
26690,-1,1347.653729,1004.55309,2892.200325,10,26688,138,-1,16
27682,-1,1154.938527,476.6719824,2345.976301,10,27681,138,-1,20
26404,-1,1074.60789,976.0398808,1972.472656,10,26403,138,-1,13
28774,-1,932.0405062,683.7260662,2566.657345,10,28773,138,-1,21
20998,-1,921.55432,939.5956249,2649.276762,10,20990,138,11.64026833,5
25384,-1,1221.195777,571.4828977,2071.072959,10,25383,138,-1,8
